DEBUG 2020-02-11 00:09:13,868  8461ms MyExtensions           GetCurrentUserId   - GetCurrentEmployee
INFO  2020-02-11 00:09:18,208 12800ms MyExtensions           CheckRight         - CheckRight 1100000000 - False 
INFO  2020-02-11 00:09:18,212 12804ms MyExtensions           CheckRight         - CheckRight 1500000000 - False 
INFO  2020-02-11 00:09:18,213 12805ms MyExtensions           CheckRight         - CheckRight 1900000000 - False 
INFO  2020-02-11 00:09:18,214 12806ms MyExtensions           CheckRight         - CheckRight 2300000000 - False 
INFO  2020-02-11 00:09:18,214 12806ms MyExtensions           CheckRight         - CheckRight 2700000000 - False 
INFO  2020-02-11 00:09:18,215 12807ms MyExtensions           CheckRight         - CheckRight 3100000000 - False 
INFO  2020-02-11 00:09:18,216 12808ms MyExtensions           CheckRight         - CheckRight 3500000000 - False 
INFO  2020-02-11 00:09:18,216 12808ms MyExtensions           CheckRight         - CheckRight 3900000000 - False 
INFO  2020-02-11 00:09:18,216 12808ms MyExtensions           CheckRight         - CheckRight 4300000000 - False 
INFO  2020-02-11 00:09:18,216 12808ms MyExtensions           CheckRight         - CheckRight 4700000000 - False 
INFO  2020-02-11 00:09:18,217 12809ms MyExtensions           CheckRight         - CheckRight 5100000000 - False 
INFO  2020-02-11 00:09:18,217 12809ms MyExtensions           CheckRight         - CheckRight 5500000000 - False 
INFO  2020-02-11 00:09:18,217 12809ms MyExtensions           CheckRight         - CheckRight 5900000000 - False 
INFO  2020-02-11 00:09:18,217 12809ms MyExtensions           CheckRight         - CheckRight 6300000000 - False 
INFO  2020-02-11 00:09:18,218 12810ms MyExtensions           CheckRight         - CheckRight 7100000001 - False 
INFO  2020-02-11 00:09:18,218 12810ms MyExtensions           CheckRight         - CheckRight 7500000001 - False 
DEBUG 2020-02-11 00:09:18,218 12810ms MyExtensions           GetCurrentUserId   - GetCurrentEmployee
DEBUG 2020-02-11 00:09:34,165 28758ms MyExtensions           GetCurrentUserId   - GetCurrentEmployee
DEBUG 2020-02-11 00:09:51,308 45900ms MyExtensions           GetCurrentUserId   - GetCurrentEmployee
INFO  2020-02-11 00:10:31,752 86344ms AccountController      LogOn              - User azim logon
DEBUG 2020-02-11 00:10:31,762 86354ms MyExtensions           GetRolesId         - GetRolesId
DEBUG 2020-02-11 00:10:31,811 86404ms MyExtensions           GetCurrentUserId   - GetCurrentEmployee
INFO  2020-02-11 00:10:31,848 86440ms MyExtensions           CheckRight         - CheckRight 1100000000 - True 
INFO  2020-02-11 00:10:31,849 86441ms MyExtensions           CheckRight         - CheckRight 1500000000 - True 
INFO  2020-02-11 00:10:31,850 86443ms MyExtensions           CheckRight         - CheckRight 1900000000 - True 
INFO  2020-02-11 00:10:31,851 86444ms MyExtensions           CheckRight         - CheckRight 2300000000 - True 
INFO  2020-02-11 00:10:31,852 86445ms MyExtensions           CheckRight         - CheckRight 2700000000 - True 
INFO  2020-02-11 00:10:31,852 86445ms MyExtensions           CheckRight         - CheckRight 3100000000 - True 
INFO  2020-02-11 00:10:31,853 86446ms MyExtensions           CheckRight         - CheckRight 3500000000 - True 
INFO  2020-02-11 00:10:31,853 86446ms MyExtensions           CheckRight         - CheckRight 3900000000 - True 
INFO  2020-02-11 00:10:31,854 86447ms MyExtensions           CheckRight         - CheckRight 4300000000 - True 
INFO  2020-02-11 00:10:31,854 86447ms MyExtensions           CheckRight         - CheckRight 4700000000 - True 
INFO  2020-02-11 00:10:31,855 86448ms MyExtensions           CheckRight         - CheckRight 5100000000 - True 
INFO  2020-02-11 00:10:31,855 86448ms MyExtensions           CheckRight         - CheckRight 5500000000 - True 
INFO  2020-02-11 00:10:31,856 86449ms MyExtensions           CheckRight         - CheckRight 5900000000 - True 
INFO  2020-02-11 00:10:31,856 86449ms MyExtensions           CheckRight         - CheckRight 6300000000 - True 
INFO  2020-02-11 00:10:31,856 86449ms MyExtensions           CheckRight         - CheckRight 7100000001 - True 
